"Rang";"Name";"Runde";"Datum";"Uhrzeit";"Stadion";"Spiel";"Tipp";"Resultat";"Punkte"
"1";"Alessio C";"Achtelfinals ( 4. Juli -  7. Juli)";"07.07.2026";"00:00";"Seattle-Stadion";"USA vs Belgien";"2:1";"1:4";"0"
"1";"Alessio C";"Achtelfinals ( 4. Juli -  7. Juli)";"07.07.2026";"16:00";"Atlanta-Stadion";"Argentinien vs Ägypten";"2:1";"3:2";"16"
"1";"Alessio C";"Achtelfinals ( 4. Juli -  7. Juli)";"07.07.2026";"20:00";"BC Place Vancouver";"Schweiz vs Kolumbien";"1:2";"0:0";"0"
"1";"Alessio C";"Viertelfinals ( 9. Juli - 12. Juli)";"09.07.2026";"20:00";"Boston-Stadion";"Frankreich vs Marokko";"2:1";"2:0";"12"
"1";"Alessio C";"Viertelfinals ( 9. Juli - 12. Juli)";"10.07.2026";"19:00";"Los-Angeles-Stadion";"Spanien vs Belgien";"2:0";"2:1";"12"
"1";"Alessio C";"Viertelfinals ( 9. Juli - 12. Juli)";"11.07.2026";"21:00";"Miami-Stadion";"Norwegen vs England";"1:2";"1:2";"20"
"1";"Alessio C";"Viertelfinals ( 9. Juli - 12. Juli)";"12.07.2026";"01:00";"Kansas-City-Stadion";"Argentinien vs Schweiz";"2:1";"3:1";"12"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"11.06.2026";"19:00";"Mexico-City-Stadion";"Mexiko vs Südafrika";"2:0";"2:0";"10"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"12.06.2026";"02:00";"Guadalajara-Stadion";"Südkorea vs Tschechien";"1:2";"2:1";"0"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"12.06.2026";"19:00";"Toronto-Stadion";"Kanada vs Bosnien-Herzeg.";"0:1";"1:1";"1"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"13.06.2026";"01:00";"Los-Angeles-Stadion";"USA vs Paraguay";"2:1";"4:1";"6"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"13.06.2026";"19:00";"San-Francisco-Bay-Area-Stadion";"Katar vs Schweiz";"0:2";"1:1";"0"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"13.06.2026";"22:00";"New-York-New-Jersey-Stadion";"Brasilien vs Marokko";"3:1";"1:1";"1"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"14.06.2026";"01:00";"Boston-Stadion";"Haiti vs Schottland";"0:1";"0:1";"10"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"14.06.2026";"04:00";"BC Place Vancouver";"Australien vs Türkei";"0:0";"2:0";"1"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"14.06.2026";"17:00";"Houston-Stadion";"Deutschland vs Curaçao";"5:0";"7:1";"5"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"14.06.2026";"20:00";"Dallas-Stadion";"Niederlande vs Japan";"2:0";"2:2";"1"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"14.06.2026";"23:00";"Philadelphia-Stadion";"Elfenbeinküste vs Ecuador";"0:3";"1:0";"0"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"15.06.2026";"02:00";"Monterrey-Stadion";"Schweden vs Tunesien";"2:1";"5:1";"6"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"15.06.2026";"16:00";"Atlanta-Stadion";"Spanien vs Kap Verde";"3:0";"0:0";"1"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"15.06.2026";"19:00";"Seattle-Stadion";"Belgien vs Ägypten";"2:1";"1:1";"1"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"15.06.2026";"22:00";"Miami-Stadion";"Saudi-Arabien vs Uruguay";"0:2";"1:1";"0"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"16.06.2026";"01:00";"Los-Angeles-Stadion";"Iran vs Neuseeland";"1:1";"2:2";"8"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"16.06.2026";"19:00";"New-York-New-Jersey-Stadion";"Frankreich vs Senegal";"3:1";"3:1";"10"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"16.06.2026";"22:00";"Boston-Stadion";"Irak vs Norwegen";"0:2";"1:4";"5"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"17.06.2026";"01:00";"Kansas-City-Stadion";"Argentinien vs Algerien";"2:0";"3:0";"6"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"17.06.2026";"04:00";"San-Francisco-Bay-Area-Stadion";"Österreich vs Jordanien";"2:1";"3:1";"6"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"17.06.2026";"17:00";"Houston-Stadion";"Portugal vs DR Kongo";"3:0";"1:1";"0"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"17.06.2026";"20:00";"Dallas-Stadion";"England vs Kroatien";"2:1";"4:2";"5"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"17.06.2026";"23:00";"Toronto-Stadion";"Ghana vs Panama";"2:0";"1:0";"6"
"2";"Amapola M";"1. Runde (11. Juni - 18. Juni)";"18.06.2026";"02:00";"Mexico-City-Stadion";"Usbekistan vs Kolumbien";"0:2";"1:3";"8"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"18.06.2026";"16:00";"Atlanta-Stadion";"Tschechien vs Südafrika";"0:2";"1:1";"0"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"18.06.2026";"19:00";"Los-Angeles-Stadion";"Schweiz vs Bosnien-Herzeg.";"2:0";"4:1";"5"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"18.06.2026";"22:00";"BC Place Vancouver";"Kanada vs Katar";"1:1";"6:0";"0"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"19.06.2026";"01:00";"Guadalajara-Stadion";"Mexiko vs Südkorea";"3:1";"1:0";"5"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"19.06.2026";"19:00";"Seattle-Stadion";"USA vs Australien";"3:1";"2:0";"8"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"19.06.2026";"22:00";"Boston-Stadion";"Schottland vs Marokko";"0:2";"0:1";"6"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"20.06.2026";"00:30";"Philadelphia-Stadion";"Brasilien vs Haiti";"3:0";"3:0";"10"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"20.06.2026";"03:00";"San-Francisco-Bay-Area-Stadion";"Türkei vs Paraguay";"1:0";"0:1";"0"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"20.06.2026";"17:00";"Houston-Stadion";"Niederlande vs Schweden";"2:1";"5:1";"6"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"20.06.2026";"20:00";"Toronto-Stadion";"Deutschland vs Elfenbeinküste";"5:0";"2:1";"5"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"21.06.2026";"00:00";"Kansas-City-Stadion";"Ecuador vs Curaçao";"3:0";"0:0";"1"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"21.06.2026";"04:00";"Monterrey-Stadion";"Tunesien vs Japan";"1:2";"0:4";"5"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"21.06.2026";"16:00";"Atlanta-Stadion";"Spanien vs Saudi-Arabien";"3:0";"4:0";"6"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"21.06.2026";"19:00";"Los-Angeles-Stadion";"Belgien vs Iran";"3:0";"0:0";"1"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"21.06.2026";"22:00";"Miami-Stadion";"Uruguay vs Kap Verde";"2:0";"2:2";"1"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"22.06.2026";"01:00";"BC Place Vancouver";"Neuseeland vs Ägypten";"0:1";"1:3";"5"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"22.06.2026";"17:00";"Dallas-Stadion";"Argentinien vs Österreich";"3:0";"2:0";"6"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"22.06.2026";"21:00";"Philadelphia-Stadion";"Frankreich vs Irak";"3:0";"3:0";"10"
"2";"Amapola M";"2. Runde (18. Juni - 24. Juni)";"23.06.2026";"00:00";"New-York-New-Jersey-Stadion";"Norwegen vs Senegal";"0:2";"3:2";"1"
